Paulo Rocha >	linguateca 
M. Mernik >	VH02 
Mitja Lenic >	HVMLGW05 
M.R. Henriques >	museums98 
Jeff Gray >	HVMLGW05 
Renato Preigschadt de Azevedo >	LPRH07 LPRH07-TM LARH09 
Maria João Varanda >	KMHVZ04 HVMLGW05 RMHV06 RMHCV06 HKMVZ03 BHVU06a BHVU06b BHVUM06 BHVU08 BHV06 BCVHU08 OVH05 OHV06 CHV08ja CHV07 
J.J. Almeida >	graminteractivas1990 tlc89 estruturasdedados90 Natura jspell1 Almeida94b Almeida95a Almeida94c jj95 Barbosa95 Barbosa95a BA97a Barbosa95b Ramalho95 Almeida96a Ulisses96 Almeida96b jj96 Almeida96c Ramalho96 SGML97 Almeida98 Reis98 ABNO97a ABNO97b AH97 museums98 Ramalho98 Gis99 RPA99 RSea99 xmldt99 RRAH99 Barbosa2000 jj2001x speaker:sepln2001 mp2001 alfarrabio2001 freq2002 jspell2002 dag2002 elpub2002 parguess2002 APL2k2.Parguess APL2k2.Synthesis xata:xmldt xata:museudapessoa elpub2003 cp3a:terminum2003 sepln2003 sepln2004 linguateca xata05:fs xata05:tdt xata06:navegante xata06:xmlauto 
Daniela da Cruz >	RMHCV06 BCVHU08 CHV08ja FPCH08jb PMCH08j CHV07 CPH07f CH07g CH07h FCHV08 CHP08i CH07a CLH07c CH07d CFPBH07d CHP08a CHP08b CPH08c FPCH08d PMCH08e PMCH08f CHP09a OPCH09a FCHGD09a OPHC09a OPHCC09 MKCHCPO09 OHCP09 FCHGD09b CBHP09 cruz09 CH09d OPHCC2010 KOMPCCH2010 
Nuno Alberto Silva >	MSH05 
Marta Jacinto >	JGRH04 JGRH03 
J.João Almeida >	harem:rena 
Paulo Jorge Oliveria >	ORH09a 
Pedro R. Henriques >	dag2002 
Ana Pinto >	linguateca 
Matheus C. Silveira >	LGFSSAH08 
Belinda Maia >	linguateca 
J. João Almeida >	sepln06 eamt06 elpub06-t2o elpub06-blind 
M. Lenic >	VH02 
Bruno Defude >	FCHGD09a FCHGD09b 
Sandra Cristina Lopes >	CLH07c 
Tiago Pedroso >	RPA99 
Ricardo Henriques >	Gis99 
J.B. Barros >	tlc89 estruturasdedados90 Almeida96b Barbosa2000 
Gustavo Arnold >	ALHF02 
Eugénio Ferreira >	epia-bio-2007 
F. Mário Martins >	graminteractivas1990 
Mario Ber\'on >	BHVU07d BHVU07c BHVU07b BHVU07a 
Débora Oliveira >	linguateca 
A. M. Simões >	speaker:sepln2001 
Damijan Rebernak >	RMHV06 RMHCV06 RMHVC06 
Rosário Silva >	linguateca 
José Alves Castro >	APL2k2.Parguess 
