"type";"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
0;0.297520661;0.413333333;0;0.01993865;0.111295681;0.034722222;0.064516129;0.206092153;0.612403101;0.191011236;0.202898551;5
0;0.330578512;0.533333333;0;0.030674847;0.147840532;0.083333333;0.140552995;0.186813187;0.372093023;0.258426966;0.260869565;5
0;0.330578512;0.453333333;0.024096386;0.02607362;0.137873754;0.048611111;0.110599078;0.19066898;0.418604651;0.241573034;0.260869565;5
0;0.611570248;0.133333333;0.337349398;0.01993865;0.109634551;0.055555556;0.124423963;0.209947947;0.341085271;0.202247191;0.260869565;6
0;0.297520661;0.413333333;0;0.01993865;0.111295681;0.034722222;0.064516129;0.206092153;0.612403101;0.191011236;0.202898551;5
0;0.297520661;0.386666667;0;0.018404908;0.109634551;0.041666667;0.078341014;0.206092153;0.612403101;0.191011236;0.202898551;5
0;0.338842975;0.346666667;0.036144578;0.015337423;0.099667774;0.048611111;0.122119816;0.1791016;0.449612403;0.134831461;0.202898551;5
0;0.289256198;0.38;0;0.009202454;0.093023256;0.048611111;0.034562212;0.14439946;0.519379845;0.140449438;0.289855072;7
0;0.330578512;0.333333333;0.012048193;0.021472393;0.106312292;0.027777778;0.02764977;0.186813187;0.496124031;0.196629213;0.217391304;7
0;0.305785124;0.28;0.21686747;0.084355828;0.102990033;0.055555556;0.221198157;0.206092153;0.488372093;0.325842697;0.362318841;5
0;0.239669421;0.333333333;0.048192771;0.018404908;0.146179402;0.048611111;0.1359447;0.169462117;0.434108527;0.179775281;0.173913043;5
0;0.305785124;0.28;0.21686747;0.084355828;0.102990033;0.055555556;0.221198157;0.206092153;0.488372093;0.325842697;0.362318841;5
0;0.148760331;0.356666667;0;0.015337423;0.132890365;0.052083333;0.122119816;0.13861577;0.666666667;0.168539326;0.275362319;5
0;0.330578512;0.353333333;0.174698795;0.015337423;0.174418605;0.027777778;0.052995392;0.198380567;0.418604651;0.752808989;0.15942029;5
0;0.421487603;0.36;0.108433735;0.049079755;0.277408638;0.177083333;0.320276498;0.221515327;0.341085271;0.370786517;0.173913043;5
0;0.421487603;0.36;0.114457831;0.050613497;0.26744186;0.173611111;0.32718894;0.221515327;0.348837209;0.398876404;0.173913043;5
0;0.388429752;0.133333333;0.337349398;0.018404908;0.137873754;0.118055556;0.223502304;0.188741083;0.449612403;0.297752809;0.362318841;7
0;0.355371901;0.32;0.168674699;0.016871166;0.596345515;0.052083333;0.115207373;0.186813187;0.302325581;0.595505618;0.188405797;5
0;0.297520661;0.34;0.048192771;0.058282209;0.127906977;0.017361111;0.052995392;0.198380567;0.511627907;0.157303371;0.144927536;4
0;0.338842975;0.16;0.307228916;0.018404908;0.551495017;0.055555556;0.115207373;0.188741083;0.248062016;0.483146067;0.173913043;6
0;0.421487603;0.093333333;0.289156627;0.018404908;0.112956811;0.097222222;0.124423963;0.186813187;0.519379845;0.174157303;0.202898551;6
0;0.314049587;0.206666667;0.186746988;0.02607362;0.121262458;0.076388889;0.149769585;0.21380374;0.620155039;0.241573034;0.246376812;5
0;0.338842975;0.233333333;0.126506024;0.015337423;0.161129568;0.03125;0.071428571;0.182957393;0.348837209;0.387640449;0.217391304;5
0;0.388429752;0.273333333;0.06626506;0.02607362;0.124584718;0.027777778;0.140552995;0.186813187;0.348837209;0.174157303;0.202898551;5
0;0.256198347;0.213333333;0.084337349;0.027607362;0.126245847;0.069444444;0.078341014;0.186813187;0.550387597;0.230337079;0.246376812;6
0;0.20661157;0.206666667;0.096385542;0.012269939;0.117940199;0.034722222;0.039170507;0.16175053;0.480620155;0.191011236;0.188405797;5
0;0.314049587;0.22;0.144578313;0.018404908;0.117940199;0.010416667;0.011520737;0.175245807;0.434108527;0.207865169;0.217391304;5
0;0.338842975;0.233333333;0.126506024;0.015337423;0.161129568;0.03125;0.071428571;0.182957393;0.348837209;0.387640449;0.217391304;5
0;0.272727273;0.42;0;0.01993865;0.117940199;0.045138889;0.066820276;0.194524773;0.581395349;0.185393258;0.202898551;5
0;0.330578512;0.376666667;0;0.021472393;0.121262458;0.024305556;0.023041475;0.1791016;0.511627907;0.207865169;0.260869565;6
0;0.239669421;0.396666667;0.042168675;0.027607362;0.132890365;0.055555556;0.175115207;0.16753422;0.488372093;0.179775281;0.304347826;5
0;0.256198347;0.403333333;0;0.029141104;0.159468439;0.072916667;0.071428571;0.182957393;0.573643411;0.196629213;0.376811594;6
